,0,1,2,3,4
0,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/22,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/23,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/21,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/22,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/21
1,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/22,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/23,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/25,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/24,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/28
2,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/22,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/23,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/26,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/24,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/21
3,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/23,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/28,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/24,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/28
4,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/22,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/21,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/24,
5,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/22,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/23,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/25,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24,
6,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/22,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/23,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/26,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/24,
7,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/23,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/28,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/24,
8,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/22,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/21,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/24,
9,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/22,,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/25,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24,
