,BOYLSTON ST B-A_BERK_N,BOYLSTON ST B-A_BERK_S,BOYLSTON ST C-B_CLAR_N,BOYLSTON ST C-B_CLAR_S,BOYLSTON ST D-C_DART_N,BOYLSTON ST D-C_DART_S,BOYLSTON ST E-D_EXET_N,CLARENDON ST N-B_NEWB_E,CLARENDON ST N-B_NEWB_W,DARTMOUTH ST B-N_BOYL_W,EXETER ST N-B_NEWB_E,EXETER ST N-B_NEWB_W,NEWBURY ST A-B_ARLI_N,NEWBURY ST A-B_ARLI_S,NEWBURY ST B-C_BERK_N,NEWBURY ST B-C_BERK_S,NEWBURY ST C-D_CLAR_N,NEWBURY ST C-D_CLAR_S,NEWBURY ST D-E_DART_N,NEWBURY ST D-E_DART_S,NEWBURY ST E-F_EXET_N,NEWBURY ST E-F_EXET_S
BOYLSTON ST B-A_BERK_N,1.0,0.9683010779978232,0.9841200371862584,0.9879838406532474,0.9471092794503505,0.9358916099007977,0.974146808708058,0.9895997556011347,0.973135372113886,0.9425938676106675,0.8849977655894922,0.8893412311114757,0.9800294108507733,0.9394694242201658,0.9823645574185276,0.9756927134463291,0.9451181572347973,0.9711397303715308,0.9744552983558565,0.9323211406725656,0.9577821998952055,0.9859790100311105
BOYLSTON ST B-A_BERK_S,0.9683010779978232,1.0,0.9633104293367787,0.9551699137222438,0.9283453639734085,0.8995895569116359,0.9448194280122248,0.9678181418132747,0.9834853503239992,0.9042659078932695,0.835945706474712,0.8562019639820834,0.9499074379424675,0.9081000639115415,0.956763379714151,0.9754094192181086,0.9213020973703583,0.9494593812322197,0.9428739709536915,0.8842489584132991,0.9092806876360084,0.9572803789693899
BOYLSTON ST C-B_CLAR_N,0.9841200371862584,0.9633104293367787,1.0000000000000002,0.9913440174732513,0.9605357739845,0.9568320005556783,0.9784265983226317,0.9897597263698393,0.9654658385924699,0.9502770849564512,0.893590153391755,0.9280355347620242,0.9900099242786604,0.9606560145870046,0.989267222170179,0.9845766471402877,0.9669664427593206,0.9836412931823805,0.9765331587612156,0.9497666333318292,0.9726819627191021,0.9904791757205628
BOYLSTON ST C-B_CLAR_S,0.9879838406532474,0.9551699137222438,0.9913440174732513,1.0,0.9607606520033166,0.9489406963819726,0.9711106309615473,0.9920239823678398,0.9682748820555909,0.9421463929970931,0.881839145335814,0.918527634163055,0.9858283097051205,0.9495732202606308,0.9822479065850935,0.9786424035684378,0.9609996440681439,0.974803465717956,0.9871044640351603,0.9444895356928588,0.9705685379565622,0.9857731384599377
BOYLSTON ST D-C_DART_N,0.9471092794503505,0.9283453639734085,0.9605357739845,0.9607606520033166,1.0000000000000002,0.9556279264449747,0.9597200642170991,0.9601862897365039,0.9533515590390305,0.950716207204211,0.9155180016684199,0.9508608376445516,0.9661779944956901,0.975454133611688,0.9682106902446886,0.9663690120237594,0.9818610872623739,0.969570046580386,0.966629079986526,0.9601638906408438,0.9649995717575246,0.9689652516103047
BOYLSTON ST D-C_DART_S,0.9358916099007977,0.8995895569116359,0.9568320005556783,0.9489406963819726,0.9556279264449747,1.0,0.9761206850430795,0.9517465292034086,0.9319203309328766,0.9577748980339127,0.954343265115738,0.9819516955563504,0.973651219046276,0.9827334115482628,0.975399488390512,0.9696486157346652,0.9882472742311832,0.9797351250767441,0.953656296458087,0.9815247621673566,0.9884971516061245,0.9774221559272186
BOYLSTON ST E-D_EXET_N,0.974146808708058,0.9448194280122248,0.9784265983226317,0.9711106309615473,0.9597200642170991,0.9761206850430795,0.9999999999999998,0.9855716030741547,0.9636198222478001,0.9869800164785085,0.9573625856159862,0.9386086499091225,0.9816052202567969,0.980526465723512,0.9953343784288796,0.9824729478662673,0.9833699657546539,0.9883338203057094,0.9569660665282864,0.9826531577101268,0.9863074982513175,0.9920510393410045
CLARENDON ST N-B_NEWB_E,0.9895997556011347,0.9678181418132747,0.9897597263698393,0.9920239823678398,0.9601862897365039,0.9517465292034086,0.9855716030741547,1.0,0.9741847217697116,0.963102650066691,0.9074302301000622,0.9118358062479296,0.9826960045401926,0.9548584842214294,0.9882264013948237,0.9853508215036476,0.9669964761867864,0.9780457609250252,0.970759707364798,0.9525888951642254,0.9723060072820818,0.9905609735800672
CLARENDON ST N-B_NEWB_W,0.973135372113886,0.9834853503239992,0.9654658385924699,0.9682748820555909,0.9533515590390305,0.9319203309328766,0.9636198222478001,0.9741847217697116,1.0,0.9326356376999526,0.8673585890149278,0.8921124006790685,0.9610216611309745,0.939812458686017,0.9701375620724375,0.9811794033907424,0.9505177481720473,0.9642245987776353,0.9703607737443912,0.9232320439046178,0.9411355042734733,0.9706298392994511
DARTMOUTH ST B-N_BOYL_W,0.9425938676106675,0.9042659078932695,0.9502770849564512,0.9421463929970931,0.950716207204211,0.9577748980339127,0.9869800164785085,0.963102650066691,0.9326356376999526,0.9999999999999998,0.9707365308631337,0.9198349146489806,0.9473108138052725,0.9735480553011132,0.9747252555120449,0.9479696151447118,0.9703550675632053,0.9617573671963136,0.91959175909912,0.9806482571180944,0.9690476885881651,0.9693500785023897
