,BOYLSTON ST B-A_BERK_N,BOYLSTON ST B-A_BERK_S,BOYLSTON ST C-B_CLAR_N,BOYLSTON ST C-B_CLAR_S,BOYLSTON ST D-C_DART_N,BOYLSTON ST D-C_DART_S,BOYLSTON ST E-D_EXET_N,CLARENDON ST N-B_NEWB_E,CLARENDON ST N-B_NEWB_W,DARTMOUTH ST B-N_BOYL_W,EXETER ST N-B_NEWB_E,EXETER ST N-B_NEWB_W,NEWBURY ST A-B_ARLI_N,NEWBURY ST A-B_ARLI_S,NEWBURY ST B-C_BERK_N,NEWBURY ST B-C_BERK_S,NEWBURY ST C-D_CLAR_N,NEWBURY ST C-D_CLAR_S,NEWBURY ST D-E_DART_N,NEWBURY ST D-E_DART_S,NEWBURY ST E-F_EXET_N,NEWBURY ST E-F_EXET_S
2022-06-29 08:00:00,9,9,12,6,7,4,7,3,7,4,4,3,8,10,13,12,6,14,3,2,4,12
2022-06-29 09:00:00,12,15,24,19,6,6,15,10,12,7,4,4,16,16,20,26,14,26,6,10,14,21
2022-06-29 10:00:00,24,13,29,32,10,9,18,12,13,11,7,4,21,24,27,24,14,32,13,15,19,35
2022-06-29 11:00:00,22,12,47,40,9,11,19,13,10,11,4,8,27,25,31,24,16,35,13,16,29,35
2022-06-29 12:00:00,30,14,39,45,10,10,23,16,13,11,8,5,30,19,35,29,17,40,15,18,33,37
2022-06-29 13:00:00,26,14,36,40,12,12,23,14,18,13,6,9,28,31,30,27,20,32,18,22,36,34
2022-06-29 14:00:00,22,12,40,43,20,13,20,15,12,13,9,14,31,37,30,29,27,37,17,25,38,36
2022-06-29 15:00:00,18,11,35,36,15,15,19,10,14,9,8,15,31,39,33,31,26,48,19,26,34,34
2022-06-29 16:00:00,22,11,38,37,11,21,24,13,11,11,13,18,36,37,34,34,26,44,16,27,44,41
2022-06-29 17:00:00,23,10,38,30,14,17,29,13,11,18,16,13,32,45,38,29,28,49,13,34,45,42
2022-06-29 18:00:00,21,10,36,35,13,15,29,14,11,21,19,13,29,44,38,27,26,42,11,35,39,37
2022-06-29 19:00:00,17,9,31,33,14,18,25,13,13,18,14,12,21,34,33,27,27,39,12,28,39,37
