,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
2022-03-21 08:00:00,0.342,0.14,0.061,-0.007,0.139,0.24,0.064,0.015,0.047,0.03,0.53,0.414
2022-03-21 09:00:00,0.17,0.124,0.07,0.076,0.308,0.208,0.275,0.182,0.225,0.276,0.474,0.478
2022-03-21 10:00:00,0.421,0.266,0.25,0.185,0.275,0.299,0.279,0.238,0.114,0.241,0.471,0.417
2022-03-21 11:00:00,0.278,0.251,0.209,0.153,0.278,0.217,0.138,0.151,0.16,0.226,0.608,0.521
2022-03-21 12:00:00,0.301,0.243,0.205,0.236,0.378,0.281,0.172,0.123,0.17,0.059,0.613,0.764
2022-03-21 13:00:00,0.371,0.242,0.152,0.219,0.23,0.218,0.118,-0.07,0.132,0.235,0.901,0.838
2022-03-21 14:00:00,0.414,0.315,0.228,0.227,0.425,0.301,0.271,0.193,0.289,0.384,0.84,0.764
2022-03-21 15:00:00,0.107,-0.012,0.319,0.055,0.071,-0.074,0.09,0.373,0.176,0.153,-0.062,0.057
2022-03-21 16:00:00,0.093,-0.057,0.076,0.022,0.119,0.24,0.214,0.164,0.069,0.212,0.198,0.288
2022-03-21 17:00:00,0.368,0.311,0.122,0.06,-0.017,-0.238,0.176,0.141,0.114,-0.126,0.059,0.131
2022-03-21 18:00:00,0.086,-0.024,-0.215,-0.269,-0.048,-0.067,0.048,-0.126,-0.076,0.041,0.012,0.435
2022-03-21 19:00:00,-0.043,0.067,-0.1,0.079,0.176,0.262,0.195,-0.033,-0.124,0.098,0.155,0.126
2022-03-22 08:00:00,0.117,-0.136,-0.286,-0.164,-0.265,-0.362,-0.081,-0.043,-0.153,0.012,0.15,0.279
2022-03-22 09:00:00,0.169,0.069,-0.126,0.06,-0.057,-0.057,0.238,0.569,0.697,0.397,0.283,0.352
2022-03-22 10:00:00,0.276,0.137,0.139,-0.003,-0.118,-0.011,-0.187,-0.125,-0.233,-0.188,-0.328,-0.503
2022-03-22 11:00:00,-0.014,-0.239,-0.148,-0.341,-0.196,-0.118,-0.174,-0.422,-0.333,-0.365,-0.587,-0.635
2022-03-22 12:00:00,0.002,-0.36,-0.314,-0.444,-0.382,-0.187,-0.447,-0.32,-0.636,-0.786,-0.835,-0.665
2022-03-22 13:00:00,0.158,-0.099,-0.06,-0.699,-0.826,-0.863,-1.124,-1.078,-1.082,-0.769,-0.996,-0.711
2022-03-22 14:00:00,0.39,0.165,-0.048,-0.242,-0.321,-0.272,-0.204,-0.276,-0.317,-0.414,-0.547,-0.493
2022-03-22 15:00:00,-0.011,0.057,-0.054,-0.072,-0.104,-0.253,-0.453,-0.707,-0.609,-0.684,-0.612,-0.536
2022-03-22 16:00:00,0.176,-0.139,-0.1,-0.314,-0.544,-0.458,-0.435,-0.551,-0.488,-0.174,-0.224,-0.331
2022-03-22 17:00:00,0.506,0.444,0.365,0.531,0.477,0.308,0.448,0.365,0.46,0.221,0.412,0.608
2022-03-22 18:00:00,0.419,0.275,0.6,0.462,0.26,0.331,0.404,0.388,0.475,0.26,0.154,0.317
2022-03-22 19:00:00,1.0,0.877,0.733,0.523,0.458,0.602,0.523,0.285,0.475,0.396,0.367,0.558
2022-03-23 08:00:00,0.577,0.625,0.512,0.408,0.312,0.202,0.356,0.217,0.392,0.562,0.238,0.215
2022-03-23 09:00:00,0.704,0.704,0.635,0.712,0.721,0.575,0.567,0.477,0.515,0.121,-0.035,0.31
2022-03-23 10:00:00,0.375,0.381,0.315,0.106,0.227,0.371,0.242,-0.054,0.035,0.398,0.348,0.39
